state_code,state_name,year,month,tmean
11,Rondônia,2012,2,24.1742358941298
11,Rondônia,2012,3,24.7195961658771
11,Rondônia,2012,4,25.0661465571477
11,Rondônia,2012,5,24.5936774840722
11,Rondônia,2012,6,24.4942883344797
11,Rondônia,2012,7,25.7632017869216
11,Rondônia,2012,8,27.7380748161903
11,Rondônia,2012,9,27.9998238270099
11,Rondônia,2012,10,26.4678039550781
11,Rondônia,2012,11,25.5935309850253
11,Rondônia,2012,12,25.3095715596126
11,Rondônia,2013,1,24.9441406543438
11,Rondônia,2013,2,24.5813754155086
11,Rondônia,2013,3,25.1226515036363
11,Rondônia,2013,4,24.8128899427561
11,Rondônia,2013,5,24.8065395722023
11,Rondônia,2013,6,25.0618824592004
11,Rondônia,2013,7,25.1081041189341
11,Rondônia,2013,8,26.1923137444716
11,Rondônia,2013,9,26.5717153182397
11,Rondônia,2013,10,25.4202623734107
11,Rondônia,2013,11,24.564578129695
11,Rondônia,2013,12,25.2598184438852
11,Rondônia,2014,1,24.6273619945233
11,Rondônia,2014,2,24.300712622129
11,Rondônia,2014,3,24.6875346257136
11,Rondônia,2014,4,24.8758719150837
11,Rondônia,2014,5,24.2736189915584
11,Rondônia,2014,6,24.8096248553349
11,Rondônia,2014,7,25.4487686524024
11,Rondônia,2014,8,27.2554273605347
11,Rondônia,2014,9,27.314285828517
11,Rondônia,2014,10,26.4140954384437
11,Rondônia,2014,11,25.060570863577
11,Rondônia,2014,12,25.0854449638954
11,Rondônia,2015,1,24.9579823567317
11,Rondônia,2015,2,24.9193128805894
11,Rondônia,2015,3,24.8510009325468
11,Rondônia,2015,4,24.8973235350389
11,Rondônia,2015,5,24.3636600421025
11,Rondônia,2015,6,25.0657563576332
11,Rondônia,2015,7,26.0850165073688
11,Rondônia,2015,8,28.3659644126892
11,Rondônia,2015,9,28.4061804918143
11,Rondônia,2015,10,27.6948036413926
11,Rondônia,2015,11,27.0746686641987
11,Rondônia,2015,12,26.504284968743
11,Rondônia,2016,1,26.1084618201623
11,Rondônia,2016,2,25.827748298645
11,Rondônia,2016,3,25.3720489281875
11,Rondônia,2016,4,25.4998903274536
11,Rondônia,2016,5,24.9926188909091
11,Rondônia,2016,6,24.7784306086027
11,Rondônia,2016,7,26.8657394922697
11,Rondônia,2016,8,26.9942215405978
11,Rondônia,2016,9,25.9171557426453
11,Rondônia,2016,10,26.2792501082787
11,Rondônia,2016,11,25.6873602500329
11,Rondônia,2016,12,25.1185004160955
11,Rondônia,2017,1,25.1677354299105
11,Rondônia,2017,2,24.8057709107032
11,Rondônia,2017,3,25.2589829885043
11,Rondônia,2017,4,25.1234821539659
11,Rondônia,2017,5,25.3851142663222
11,Rondônia,2017,6,24.7619728675256
11,Rondônia,2017,7,25.5799396221454
11,Rondônia,2017,8,27.5159742281987
11,Rondônia,2017,9,28.1584740051856
11,Rondônia,2017,10,26.795707482558
11,Rondônia,2017,11,25.7792205810547
11,Rondônia,2017,12,25.0801587471595
11,Rondônia,2018,1,25.0528912911048
11,Rondônia,2018,2,24.856094286992
11,Rondônia,2018,3,25.2059972469623
11,Rondônia,2018,4,24.6175534174993
11,Rondônia,2018,5,24.7180744317862
11,Rondônia,2018,6,23.9988845678476
11,Rondônia,2018,7,25.8301809384273
11,Rondônia,2018,8,25.9124203095069
11,Rondônia,2018,9,26.8191501177274
11,Rondônia,2018,10,26.6291283827562
11,Rondônia,2018,11,25.634679207435
11,Rondônia,2018,12,24.8507592861469
11,Rondônia,2019,1,24.8998099840604
11,Rondônia,2019,2,25.1943288216224
11,Rondônia,2019,3,25.3973036545974
11,Rondônia,2019,4,25.3461367533757
11,Rondônia,2019,5,25.1061438046969
11,Rondônia,2019,6,26.0149271304791
11,Rondônia,2019,7,26.0603103270898
11,Rondônia,2019,8,26.6632957091698
11,Rondônia,2019,9,28.4494988368108
11,Rondônia,2019,10,25.8799419769874
11,Rondônia,2019,11,25.6330308547387
11,Rondônia,2019,12,25.7185379541837
11,Rondônia,2020,1,25.8901579563434
11,Rondônia,2020,2,25.3921855412997
11,Rondônia,2020,3,25.7264304894667
11,Rondônia,2020,4,25.3086277154776
11,Rondônia,2020,5,24.1515047366803
11,Rondônia,2020,6,25.6321392792922
11,Rondônia,2020,7,26.5259642601013
11,Rondônia,2020,8,27.3067476932819
