state_code,state_name,state_abb,year,month,tmean,prcp,pdsi
27,Alagoas,AL,2020,4,25.9444599712596,130.374511643952,-1.9944674115555
27,Alagoas,AL,2001,5,25.3291795580995,39.28987791024,-0.0592678373350813
27,Alagoas,AL,2002,5,24.3517451379813,106.990721870871,1.44418771210693
27,Alagoas,AL,2003,5,25.0915095198388,65.4104964686375,-1.34246799408221
27,Alagoas,AL,2004,5,24.6460906197043,72.2492083007214,-0.796364070701541
27,Alagoas,AL,2005,5,24.300521364399,143.644113690245,-1.49129758823626
27,Alagoas,AL,2006,5,24.3013053968841,128.93049400928,0.169451254620856
27,Alagoas,AL,2007,5,24.1349220275879,93.1368533489751,-0.493880503317889
27,Alagoas,AL,2008,5,24.048942304125,138.341590133368,0.86039867588118
27,Alagoas,AL,2009,5,24.0684182410147,288.810174979416,0.7396237939304
27,Alagoas,AL,2010,5,25.0440283569635,62.4878071616678,-1.46497796797285
27,Alagoas,AL,2011,5,23.7804482403924,198.62346125584,0.782649935661432
27,Alagoas,AL,2012,5,24.8312331180947,46.6872664619895,-1.89892146517249
27,Alagoas,AL,2013,5,24.4903197382011,82.1300534641042,-3.95228144701789
27,Alagoas,AL,2014,5,24.2970093184827,106.296395582311,-1.50645367326398
27,Alagoas,AL,2015,5,25.4252829645194,63.4704674552469,-1.75591510417415
27,Alagoas,AL,2016,5,24.7719588186227,78.2419457716101,-2.5580690351187
27,Alagoas,AL,2017,5,24.7873098896999,167.388848323448,-4.08877022126142
27,Alagoas,AL,2018,5,24.3720705555935,81.5366927315207,-2.55027821718478
27,Alagoas,AL,2019,5,25.8107871822282,43.1379082717148,-3.56284431382722
27,Alagoas,AL,2020,5,24.7161598953546,142.671110788981,-2.06621288201388
27,Alagoas,AL,2001,6,23.0442135380764,133.719963148528,0.89273366478144
27,Alagoas,AL,2002,6,22.9220684649898,174.217964882944,1.79846808999119
27,Alagoas,AL,2003,6,23.5624013227575,91.2740043565339,-1.09644759040983
27,Alagoas,AL,2004,6,22.8980937284582,174.988982630711,-0.368377603690925
27,Alagoas,AL,2005,6,23.3864779565849,134.203671062694,-1.08818100308817
27,Alagoas,AL,2006,6,22.8288612178728,156.492031284407,0.509562645271859
27,Alagoas,AL,2007,6,23.0637326895022,110.520199457804,-0.633916597155964
27,Alagoas,AL,2008,6,22.7049530814676,91.9280907126034,0.370221878237584
27,Alagoas,AL,2009,6,23.5572909373863,102.240755903955,0.344054414854184
27,Alagoas,AL,2010,6,23.4320445154228,187.016346950157,-0.889400724540739
27,Alagoas,AL,2011,6,23.1628075206981,89.3814987481809,-0.580610848232812
27,Alagoas,AL,2012,6,23.6437651316325,66.1498981457131,-2.226821920451
27,Alagoas,AL,2013,6,23.8596470215741,66.2085797739964,-3.5994583439155
27,Alagoas,AL,2014,6,23.3859086691165,86.6333469690061,-1.8466762533667
27,Alagoas,AL,2015,6,23.7430232926911,98.6737009684245,-1.80826918284098
27,Alagoas,AL,2016,6,23.9571325264725,63.299952993206,-2.6866528894387
27,Alagoas,AL,2017,6,23.3850523630778,154.28336465125,-3.79086638665667
27,Alagoas,AL,2018,6,23.5115127563477,54.4007810891843,-2.79735242619234
27,Alagoas,AL,2019,6,23.7713094599107,112.10497452231,-3.33825409646128
27,Alagoas,AL,2020,6,23.4966814190734,132.077326568903,-1.86302517033091
27,Alagoas,AL,2001,7,22.5250152700088,110.126391167734,1.03681400681243
27,Alagoas,AL,2002,7,22.788818284577,81.2565787820255,-0.504497276801689
27,Alagoas,AL,2003,7,22.7199398863549,69.4265043595258,-1.13515728558688
27,Alagoas,AL,2004,7,22.1769341674506,123.134610493978,-0.26971749943115
27,Alagoas,AL,2005,7,22.306850826039,107.299847827238,-1.2198387484121
27,Alagoas,AL,2006,7,22.2117871677174,126.192701190126,0.230213543959419
27,Alagoas,AL,2007,7,22.4053092657351,84.8291849435544,-0.652340624846664
27,Alagoas,AL,2008,7,21.9662024554084,105.016751139772,0.484372215308979
27,Alagoas,AL,2009,7,22.818317974315,97.8480750065224,0.436895829899347
